title,price,voltage,location,condition,seller,url,image_url,category,page,spec_voltage,spec_power,spec_current_rating,spec_capacity,spec_kva_rating,Clean_Name,Current_A,Voltage_V,Power_W
60a/48v Sunfit MPPT Charge Controller,100000.0,48V,,,,,,Charge Controllers,1,48V,,00060A,,,Sunfit MPPT Charge Controller,60,48,
Solar Charge Controller,165750.0,24V,,,,,,Charge Controllers,1,24V,660W,,,,Solar Charge Controller,,,
100 Ahms Felicity Charge Controller,210000.0,,,,,,,Charge Controllers,1,,,,,,Felicity Charge Controller,100,,
Sunfield Charge Controller,200000.0,,,,,,,Charge Controllers,1,,,,,,Sunfield Charge Controller,,,
100arh Dlamond Solar Charger Controller MPPT,200000.0,,,,,,,Charge Controllers,1,,,,,,arh Dlamond Solar Charger Controller MPPT,,,
100ah MPPT Felicity Solar Charge Controller,270000.0,,,,,,,Charge Controllers,1,,,,000100Ah,,MPPT Felicity Solar Charge Controller,100,,
Hybrid Solar Inverter,1500.0,,,,,,,Charge Controllers,1,,,,,,Hybrid Solar Inverter,,,
100ah 12v to 48v Sunfit Charge Controller,260000.0,12V,,,,,,Charge Controllers,1,12V,,,000100Ah,,to Sunfit Charge Controller,100,12/48,
60a Felicity Solar Charge Controller,165000.0,,,,,,,Charge Controllers,1,,,00060A,,,Felicity Solar Charge Controller,60,,
Solar Charge Controller,90000.0,,,,,,,Charge Controllers,1,,,,,,Solar Charge Controller,,,
80a Mppt Charge Controller,100000.0,,,,,,,Charge Controllers,1,,,00080A,,,Mppt Charge Controller,80,,
80ah Diamond Solar Charge Controller MPPT,170000.0,,,,,,,Charge Controllers,1,,,,00080Ah,,Diamond Solar Charge Controller MPPT,80,,
60a 12v 24v 48v Sunfield MPPT Solar Charge Controllers,135000.0,12V,,,,,,Charge Controllers,1,12V,,00060A,,,Sunfield MPPT Solar Charge Controllers,60,12/24/48,
PWM 60a Charge Controller,35000.0,12V,,,,,,Charge Controllers,1,12V,,60A,,,PWM Charge Controller,60,,
120ah Felicity Charge Controller,240000.0,,,,,,,Charge Controllers,1,,,,000120Ah,,Felicity Charge Controller,120,,
